partNumber,description,vendor,active,seatPosition,color,seatStyle,busSeries,group,variant,tags
"70446","BACK RED SLIM Seat Insert - NOVA_3000","TTC","true","BACK","RED","SLIM","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;RED;SLIM;NOVA_3000"
"70449","CUSHION RED SLIM Seat Insert - NOVA_3000","TTC","true","CUSHION","RED","SLIM","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;RED;SLIM;NOVA_3000"
"70452","BACK BLUE T2C Seat Insert - NOVA_3000","TTC","true","BACK","BLUE","T2C","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;BLUE;T2C;NOVA_3000"
"70730","CUSHION BLUE T2C Seat Insert - NOVA_3000","TTC","true","CUSHION","BLUE","T2C","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;BLUE;T2C;NOVA_3000"
"71213","BACK RED SLIM Seat Insert - NOVA_3000","TTC","true","BACK","RED","SLIM","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;RED;SLIM;NOVA_3000"
"71062","CUSHION RED SLIM Seat Insert - NOVA_3000","TTC","true","CUSHION","RED","SLIM","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;RED;SLIM;NOVA_3000"
"71065","BACK BLUE T2C Seat Insert - NOVA_3000","TTC","true","BACK","BLUE","T2C","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;BLUE;T2C;NOVA_3000"
"71068","CUSHION BLUE T2C Seat Insert - NOVA_3000","TTC","true","CUSHION","BLUE","T2C","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;BLUE;T2C;NOVA_3000"
"63109","BACK RED HIGH_BACK Seat Insert - NOVA_3000","TTC","true","BACK","RED","HIGH_BACK","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;RED;HIGH_BACK;NOVA_3000"
"63110","CUSHION RED HIGH_BACK Seat Insert - NOVA_3000","TTC","true","CUSHION","RED","HIGH_BACK","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;RED;HIGH_BACK;NOVA_3000"
"63112","BACK BLUE HIGH_BACK Seat Insert - NOVA_3000","TTC","true","BACK","BLUE","HIGH_BACK","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;BLUE;HIGH_BACK;NOVA_3000"
"63113","CUSHION BLUE HIGH_BACK Seat Insert - NOVA_3000","TTC","true","CUSHION","BLUE","HIGH_BACK","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;BLUE;HIGH_BACK;NOVA_3000"
"63044","BACK RED GEMINI Seat Insert - NOVA_3000","TTC","true","BACK","RED","GEMINI","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;RED;GEMINI;NOVA_3000"
"63045","CUSHION RED GEMINI Seat Insert - NOVA_3000","TTC","true","CUSHION","RED","GEMINI","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;RED;GEMINI;NOVA_3000"
"63056","BACK BLUE GEMINI Seat Insert - NOVA_3000","TTC","true","BACK","BLUE","GEMINI","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;BLUE;GEMINI;NOVA_3000"
"63057","CUSHION BLUE GEMINI Seat Insert - NOVA_3000","TTC","true","CUSHION","BLUE","GEMINI","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;BLUE;GEMINI;NOVA_3000"
"63050","BACK RED SLIM Seat Insert - NOVA_3000","TTC","true","BACK","RED","SLIM","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;RED;SLIM;NOVA_3000"
"63051","CUSHION RED SLIM Seat Insert - NOVA_3000","TTC","true","CUSHION","RED","SLIM","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;RED;SLIM;NOVA_3000"
"63015","BACK BLUE T2C Seat Insert - NOVA_3000","TTC","true","BACK","BLUE","T2C","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;BLUE;T2C;NOVA_3000"
"63016","CUSHION BLUE T2C Seat Insert - NOVA_3000","TTC","true","CUSHION","BLUE","T2C","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;BLUE;T2C;NOVA_3000"
"63052","BACK RED HIGH_BACK Seat Insert - NOVA_3000","TTC","true","BACK","RED","HIGH_BACK","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;RED;HIGH_BACK;NOVA_3000"
"63053","CUSHION RED HIGH_BACK Seat Insert - NOVA_3000","TTC","true","CUSHION","RED","HIGH_BACK","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;RED;HIGH_BACK;NOVA_3000"
"63047","BACK BLUE GEMINI Seat Insert - NOVA_3000","TTC","true","BACK","BLUE","GEMINI","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","BACK;BLUE;GEMINI;NOVA_3000"
"63048","CUSHION BLUE GEMINI Seat Insert - NOVA_3000","TTC","true","CUSHION","BLUE","GEMINI","NOVA_3000","NOVA 3000 SERIES BUS USSC INSERTS","","CUSHION;BLUE;GEMINI;NOVA_3000"
"22636","BACK RED GEMINI Seat Insert - NOVA_8000_9000 & ORION_7","TTC","true","BACK","RED","GEMINI","NOVA_8000_9000 & ORION_7","NOVA 8000-9000 SERIES & ORION 7","","BACK;RED;GEMINI;NOVA_8000_9000 & ORION_7"
"22909","CUSHION RED GEMINI Seat Insert - NOVA_8000_9000 & ORION_7","TTC","true","CUSHION","RED","GEMINI","NOVA_8000_9000 & ORION_7","NOVA 8000-9000 SERIES & ORION 7","","CUSHION;RED;GEMINI;NOVA_8000_9000 & ORION_7"
"63115","BACK BLUE SLIM Seat Insert - NOVA_8000_9000 & ORION_7","TTC","true","BACK","BLUE","SLIM","NOVA_8000_9000 & ORION_7","NOVA 8000-9000 SERIES & ORION 7","","BACK;BLUE;SLIM;NOVA_8000_9000 & ORION_7"
"63116","CUSHION BLUE SLIM Seat Insert - NOVA_8000_9000 & ORION_7","TTC","true","CUSHION","BLUE","SLIM","NOVA_8000_9000 & ORION_7","NOVA 8000-9000 SERIES & ORION 7","","CUSHION;BLUE;SLIM;NOVA_8000_9000 & ORION_7"
"63142","BACK RED T2C Seat Insert - NOVA_8000_9000 & ORION_7","TTC","true","BACK","RED","T2C","NOVA_8000_9000 & ORION_7","NOVA 8000-9000 SERIES & ORION 7","","BACK;RED;T2C;NOVA_8000_9000 & ORION_7"
"63143","CUSHION RED T2C Seat Insert - NOVA_8000_9000 & ORION_7","TTC","true","CUSHION","RED","T2C","NOVA_8000_9000 & ORION_7","NOVA 8000-9000 SERIES & ORION 7","","CUSHION;RED;T2C;NOVA_8000_9000 & ORION_7"
"79283","BACK BLUE HIGH_BACK Seat Insert - PROTERRA","TTC","true","BACK","BLUE","HIGH_BACK","PROTERRA","PROTERRA","","BACK;BLUE;HIGH_BACK;PROTERRA"
"79287","CUSHION BLUE HIGH_BACK Seat Insert - PROTERRA","TTC","true","CUSHION","BLUE","HIGH_BACK","PROTERRA","PROTERRA","","CUSHION;BLUE;HIGH_BACK;PROTERRA"
"79211","BACK RED SLIM Seat Insert - PROTERRA","TTC","true","BACK","RED","SLIM","PROTERRA","PROTERRA","","BACK;RED;SLIM;PROTERRA"
"79206","CUSHION RED SLIM Seat Insert - PROTERRA","TTC","true","CUSHION","RED","SLIM","PROTERRA","PROTERRA","","CUSHION;RED;SLIM;PROTERRA"
"79208","BACK BLUE T2C Seat Insert - PROTERRA","TTC","true","BACK","BLUE","T2C","PROTERRA","PROTERRA","","BACK;BLUE;T2C;PROTERRA"
"79212","CUSHION BLUE T2C Seat Insert - PROTERRA","TTC","true","CUSHION","BLUE","T2C","PROTERRA","PROTERRA","","CUSHION;BLUE;T2C;PROTERRA"
"42886","BACK RED GEMINI Seat Insert - PROTERRA","TTC","true","BACK","RED","GEMINI","PROTERRA","PROTERRA","","BACK;RED;GEMINI;PROTERRA"
"42885","CUSHION RED GEMINI Seat Insert - PROTERRA","TTC","true","CUSHION","RED","GEMINI","PROTERRA","PROTERRA","","CUSHION;RED;GEMINI;PROTERRA"
"79629","BACK BLUE STANDARD Seat Insert [BUY] - BYD_EBUS","TTC","true","BACK","BLUE","STANDARD","BYD_EBUS","BYD Ebus","BUY","BACK;BLUE;STANDARD;BYD_EBUS;BUY"
"79628","CUSHION BLUE STANDARD Seat Insert [BUY] - BYD_EBUS","TTC","true","CUSHION","BLUE","STANDARD","BYD_EBUS","BYD Ebus","BUY","CUSHION;BLUE;STANDARD;BYD_EBUS;BUY"
"79627","BACK RED STANDARD Seat Insert [CORE] - BYD_EBUS","TTC","true","BACK","RED","STANDARD","BYD_EBUS","BYD Ebus","CORE","BACK;RED;STANDARD;BYD_EBUS;CORE"
"79626","CUSHION RED STANDARD Seat Insert [CORE] - BYD_EBUS","TTC","true","CUSHION","RED","STANDARD","BYD_EBUS","BYD Ebus","CORE","CUSHION;RED;STANDARD;BYD_EBUS;CORE"
"79632","BACK BLUE STANDARD Seat Insert [REBUILT] - BYD_EBUS","TTC","true","BACK","BLUE","STANDARD","BYD_EBUS","BYD Ebus","REBUILT","BACK;BLUE;STANDARD;BYD_EBUS;REBUILT"
"79625","CUSHION BLUE STANDARD Seat Insert [REBUILT] - BYD_EBUS","TTC","true","CUSHION","BLUE","STANDARD","BYD_EBUS","BYD Ebus","REBUILT","CUSHION;BLUE;STANDARD;BYD_EBUS;REBUILT"